序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
123,000981,山子高科,4.43,3.99,0.17,20814274.0,9028530642.1,13.85,4.6,4.01,4.47,4.26,2.42,21.88,101.32,35.72,44288796034.0,42144167492.0,0.45,0.68,84.58,121.5
124,873152,天宏锂电,34.02,3.97,1.3,91563.0,313232324.74,12.16,35.66,31.68,32.06,32.72,1.47,13.42,319.95,13.44,3492175623.0,2321226751.0,0.35,0.53,82.22,128.48
125,002920,德赛西威,138.71,3.96,5.28,118214.0,1650958302.92,6.73,142.98,134.0,134.01,133.43,1.99,2.14,31.48,7.99,76977017542.0,76725468483.0,0.25,0.08,35.83,27.36
126,002130,沃尔核材,29.63,3.96,1.13,1324522.0,3929784968.02,6.25,30.47,28.69,28.9,28.5,2.13,11.57,33.45,6.32,37330794392.0,33911883182.0,-0.03,0.07,26.79,18.0
127,688036,传音控股,98.74,3.94,3.74,191519.0,1909566503.0,8.91,103.79,95.33,97.26,95.0,2.66,1.68,46.42,5.68,112598215776.0,112598215776.0,-0.15,-0.48,28.23,6.52
128,002611,东方精工,18.49,3.93,0.7,1033007.0,1881024511.59,8.99,18.85,17.25,17.8,17.79,2.24,10.31,28.32,4.21,22507624427.0,18530635602.0,0.05,-0.16,53.83,92.2
129,002660,茂硕电源,10.61,3.92,0.4,284920.0,297438501.0,7.74,10.79,10.0,10.2,10.21,3.86,8.31,-83.97,3.06,3783802062.0,3639088993.0,-0.84,-0.56,12.87,3.82
130,600056,中国医药,12.03,3.89,0.45,890581.0,1069791662.0,10.62,12.48,11.25,11.48,11.58,2.63,5.96,30.61,1.53,17995433368.0,17989078280.0,0.08,0.08,16.68,9.26
131,603370,华新精科,57.08,3.88,2.13,71079.0,399520789.0,5.08,57.49,54.7,55.26,54.95,1.95,20.73,50.77,5.35,9986146000.0,1956897557.0,-0.66,-0.56,206.88,206.88
132,301446,福事特,32.8,3.86,1.22,84700.0,277899257.33,16.5,35.34,30.13,31.02,31.58,2.7,26.66,34.53,2.94,3411200000.0,1042121600.0,0.31,0.55,40.47,49.5
133,300873,海晨股份,26.15,3.85,0.97,110430.0,294093168.4,6.12,27.6,26.06,26.24,25.18,2.8,6.62,23.16,1.97,6030236521.0,4362857763.0,-0.19,-0.34,32.07,58.39
134,301225,恒勃股份,94.0,3.84,3.48,43251.0,414175928.0,7.98,99.54,92.32,97.69,90.52,2.38,14.47,73.14,6.52,9717720000.0,2808908000.0,-0.67,-0.89,24.67,259.74
135,688325,赛微微电,98.11,3.84,3.63,24899.0,239309991.0,12.31,101.73,90.1,90.1,94.48,1.36,4.62,107.4,4.99,8451098762.0,5282528489.0,-0.38,0.01,110.45,101.79
136,688584,上海合晶,25.3,3.82,0.93,84681.0,208868849.0,9.36,25.66,23.38,24.37,24.37,3.01,2.49,140.98,4.14,16836096331.0,8596646343.0,-0.32,-0.28,41.5,30.68
137,601187,厦门银行,6.54,3.81,0.24,212858.0,137242044.0,5.08,6.59,6.27,6.32,6.3,3.96,1.66,7.45,0.67,17259896388.0,8397660990.0,0.15,0.0,-7.37,19.34
138,688072,拓荆科技,227.6,3.78,8.3,67171.0,1512983529.0,5.24,231.0,219.5,219.5,219.3,1.49,2.4,337.62,11.76,63666347257.0,63666347257.0,0.05,0.42,48.43,48.37
139,603786,科博达,90.89,3.76,3.29,77568.0,699563580.0,4.59,92.02,88.0,88.49,87.6,1.39,1.92,40.71,6.71,36706535463.0,36706535463.0,-0.35,-0.32,62.1,48.63
140,603344,星德胜,29.72,3.73,1.07,61001.0,178643322.0,6.63,30.4,28.5,28.51,28.65,1.87,11.29,31.95,2.81,5781460726.0,1605800726.0,0.3,0.03,17.19,23.22
141,002568,百润股份,25.88,3.64,0.91,169194.0,442393778.96,5.09,26.73,25.46,25.6,24.97,3.99,2.34,34.87,5.91,27136436603.0,18704984157.0,-0.27,-0.42,2.62,-6.6
142,300274,阳光电源,142.13,3.57,4.9,842886.0,12157317577.88,8.27,148.55,137.2,137.2,137.23,2.02,5.3,19.05,6.93,294665539693.0,225945403986.0,0.14,0.16,106.92,95.34
